# kapture format: 1.1
# X, Y, Z, R, G, B
2.546236239871685569e+01,2.186242231865669794e+01,1.707884565980579339e+01,1.900000000000000000e+01,1.500000000000000000e+01,1.400000000000000000e+01
2.539937354468105468e+01,2.119712731745250878e+01,8.217488996194116879e+00,1.480000000000000000e+02,1.400000000000000000e+02,1.310000000000000000e+02
2.634819692968951088e+01,3.522220196624233779e+01,7.657132777257529277e+00,5.900000000000000000e+01,5.400000000000000000e+01,4.900000000000000000e+01
2.844512403081141372e+01,3.338293154565760545e+01,1.693956834682427370e+01,7.300000000000000000e+01,6.500000000000000000e+01,6.300000000000000000e+01
2.627588650113219870e+01,1.794006433351680130e+01,5.238476175013972558e+00,2.700000000000000000e+01,2.500000000000000000e+01,2.700000000000000000e+01
2.575482470501869514e+01,1.695185777578004860e+01,4.534934135978347491e+00,6.100000000000000000e+01,4.900000000000000000e+01,3.500000000000000000e+01
6.377695714919070724e+00,2.805426821791630587e+01,8.450856575751524602e+00,1.120000000000000000e+02,9.600000000000000000e+01,8.500000000000000000e+01
1.346622529614295871e+01,3.243777498877437182e+01,5.525184725556202103e+00,4.500000000000000000e+01,3.700000000000000000e+01,3.200000000000000000e+01
2.598263906947843083e+01,1.428101976240511561e+01,1.145692104044202964e+01,1.920000000000000000e+02,2.070000000000000000e+02,1.910000000000000000e+02
2.494869003229548454e+01,1.933887865020349039e+01,6.701594159230758407e+00,3.200000000000000000e+01,2.800000000000000000e+01,2.800000000000000000e+01
2.047300868911579030e+01,3.726157271104298019e+01,1.096993300914477132e+01,2.550000000000000000e+02,2.550000000000000000e+02,2.440000000000000000e+02
9.471394367322190533e+00,2.905202724200213282e+01,1.283144746917381518e+01,8.300000000000000000e+01,7.000000000000000000e+01,7.000000000000000000e+01
9.802393592358653152e+00,3.155996470110880026e+01,1.559367696006089332e+01,8.800000000000000000e+01,7.200000000000000000e+01,6.500000000000000000e+01
2.890309199235856852e+01,3.231244757140807877e+01,8.810930955171459189e+00,2.050000000000000000e+02,1.890000000000000000e+02,1.720000000000000000e+02
2.972035224865215852e+01,3.339101058275196010e+01,2.337978476376668269e+01,7.600000000000000000e+01,5.300000000000000000e+01,3.500000000000000000e+01
2.449321725774634473e+01,2.025211850537262492e+01,4.108010109314719216e+00,2.280000000000000000e+02,2.170000000000000000e+02,1.850000000000000000e+02
2.088184367174726219e+01,3.927943306545245861e+01,2.197191489315411062e+01,2.500000000000000000e+01,2.100000000000000000e+01,2.500000000000000000e+01
7.941761640422875246e+00,2.952188336068364904e+01,3.049101878521356390e+00,7.100000000000000000e+01,6.200000000000000000e+01,5.300000000000000000e+01
2.861523174925819646e+01,3.429318804983270041e+01,1.758310948358356640e+01,1.230000000000000000e+02,1.160000000000000000e+02,1.060000000000000000e+02
2.840751353184864669e+01,3.226160909672371702e+01,1.621304177100293842e+01,4.900000000000000000e+01,3.900000000000000000e+01,3.800000000000000000e+01
5.656825661222873336e+00,2.774031429461219389e+01,1.075413026170250319e+01,2.100000000000000000e+01,1.600000000000000000e+01,2.000000000000000000e+01
2.429088364357478369e+01,2.943826166396823751e+01,6.995317987111064006e+00,1.070000000000000000e+02,1.000000000000000000e+02,9.400000000000000000e+01
7.117063020965126441e+00,2.805749388737241290e+01,4.536914544548202421e+00,1.040000000000000000e+02,9.200000000000000000e+01,7.600000000000000000e+01
3.080857995693389917e+00,3.036592102968717555e+01,1.534657985613957720e+01,2.100000000000000000e+01,2.700000000000000000e+01,2.600000000000000000e+01
3.055960753743131519e+01,3.350423540934309585e+01,8.797376061450751905e+00,2.000000000000000000e+01,1.700000000000000000e+01,1.800000000000000000e+01
2.796434756025423951e+01,3.450518585605748001e+01,2.326311770602560713e+01,8.700000000000000000e+01,6.700000000000000000e+01,5.900000000000000000e+01
4.483986671966191828e+00,2.729255062072291693e+01,5.166796547781753901e+00,1.420000000000000000e+02,1.420000000000000000e+02,1.340000000000000000e+02
2.526103343301858217e+01,2.050054699791055413e+01,2.288393075114343134e+01,1.980000000000000000e+02,1.810000000000000000e+02,1.620000000000000000e+02
