# kapture format: 1.1
# X, Y, Z, R, G, B
-2.396749999999999936e+00,4.622779999999999667e+00,1.327590000000000003e+01,5.700000000000000000e+01,5.700000000000000000e+01,4.900000000000000000e+01
-2.344209999999999905e+00,4.530700000000000394e+00,1.334479999999999933e+01,6.300000000000000000e+01,6.500000000000000000e+01,6.200000000000000000e+01
-1.190299999999999914e+00,4.569410000000000416e+00,1.374959999999999916e+01,1.590000000000000000e+02,1.610000000000000000e+02,1.560000000000000000e+02
-1.190299999999999914e+00,4.569410000000000416e+00,1.374959999999999916e+01,1.590000000000000000e+02,1.610000000000000000e+02,1.560000000000000000e+02
1.736119999999999886e-01,4.574659999999999727e+00,1.420459999999999923e+01,8.300000000000000000e+01,8.000000000000000000e+01,7.100000000000000000e+01
-2.735920000000000130e+00,4.342789999999999928e+00,1.323170000000000002e+01,5.300000000000000000e+01,5.400000000000000000e+01,5.000000000000000000e+01
-2.841199999999999837e-01,4.471189999999999998e+00,1.412759999999999927e+01,1.050000000000000000e+02,1.150000000000000000e+02,1.170000000000000000e+02
2.705960000000000032e-01,4.454970000000000319e+00,1.429170000000000051e+01,1.550000000000000000e+02,1.610000000000000000e+02,1.470000000000000000e+02
-1.403070000000000039e+00,4.343919999999999781e+00,1.374319999999999986e+01,1.100000000000000000e+02,1.090000000000000000e+02,1.050000000000000000e+02
7.111779999999999768e-01,4.426370000000000360e+00,1.441960000000000086e+01,8.000000000000000000e+01,7.800000000000000000e+01,6.300000000000000000e+01
5.551690000000000236e-01,4.159779999999999589e+00,1.450259999999999927e+01,8.100000000000000000e+01,7.900000000000000000e+01,6.700000000000000000e+01
-2.910400000000000098e+00,3.898010000000000197e+00,1.329529999999999923e+01,9.900000000000000000e+01,1.030000000000000000e+02,1.120000000000000000e+02
5.388269999999999449e-01,3.935589999999999922e+00,1.458210000000000051e+01,8.000000000000000000e+01,8.500000000000000000e+01,8.000000000000000000e+01
2.315810000000000091e-01,3.796920000000000073e+00,1.455930000000000035e+01,7.600000000000000000e+01,7.100000000000000000e+01,6.200000000000000000e+01
6.116380000000000150e-01,3.788510000000000044e+00,1.470429999999999993e+01,8.100000000000000000e+01,7.300000000000000000e+01,5.800000000000000000e+01
-7.797840000000000327e-01,3.652859999999999996e+00,1.422150000000000070e+01,6.500000000000000000e+01,6.700000000000000000e+01,6.600000000000000000e+01
-2.194479999999999986e+00,3.585399999999999920e+00,1.367050000000000054e+01,5.800000000000000000e+01,5.500000000000000000e+01,4.800000000000000000e+01
2.543059999999999765e-01,3.611489999999999867e+00,1.463240000000000052e+01,1.040000000000000000e+02,1.140000000000000000e+02,1.160000000000000000e+02
9.786719999999999864e-01,3.569189999999999863e+00,1.487689999999999912e+01,8.400000000000000000e+01,8.500000000000000000e+01,6.700000000000000000e+01
1.945670000000000011e+00,3.568309999999999871e+00,1.517900000000000027e+01,6.700000000000000000e+01,6.300000000000000000e+01,6.200000000000000000e+01
4.744740000000000069e-01,3.522009999999999863e+00,1.474990000000000023e+01,8.100000000000000000e+01,7.500000000000000000e+01,6.100000000000000000e+01
-1.397720000000000073e+00,3.425990000000000091e+00,1.404129999999999967e+01,7.500000000000000000e+01,7.100000000000000000e+01,6.100000000000000000e+01
-2.358620000000000161e+00,3.378699999999999815e+00,1.365279999999999916e+01,4.100000000000000000e+01,4.500000000000000000e+01,3.800000000000000000e+01
-6.339639999999999720e-01,3.383809999999999985e+00,1.437809999999999988e+01,6.300000000000000000e+01,7.100000000000000000e+01,7.300000000000000000e+01
5.133760000000000545e-01,3.315770000000000106e+00,1.483009999999999984e+01,1.570000000000000000e+02,1.550000000000000000e+02,1.350000000000000000e+02
1.250439999999999996e+00,3.262119999999999909e+00,1.510289999999999999e+01,8.200000000000000000e+01,8.400000000000000000e+01,7.800000000000000000e+01
2.456370000000000164e+00,3.272969999999999935e+00,1.545420000000000016e+01,6.900000000000000000e+01,7.000000000000000000e+01,7.400000000000000000e+01
-2.776909999999999989e+00,3.062159999999999993e+00,1.353500000000000014e+01,2.300000000000000000e+02,2.440000000000000000e+02,2.430000000000000000e+02
-2.778099999999999792e+00,3.062679999999999847e+00,1.353659999999999997e+01,2.300000000000000000e+02,2.440000000000000000e+02,2.430000000000000000e+02
2.633100000000000218e+00,3.163440000000000030e+00,1.563129999999999953e+01,6.900000000000000000e+01,6.800000000000000000e+01,7.300000000000000000e+01
-5.235560000000000214e-02,3.018790000000000084e+00,1.474080000000000013e+01,7.500000000000000000e+01,8.000000000000000000e+01,8.400000000000000000e+01
-1.781379999999999963e+00,2.966969999999999885e+00,1.403120000000000012e+01,6.000000000000000000e+01,6.000000000000000000e+01,4.900000000000000000e+01
-2.055530000000000079e+00,2.910950000000000149e+00,1.391510000000000069e+01,1.710000000000000000e+02,1.800000000000000000e+02,1.630000000000000000e+02
-1.827669999999999906e+00,2.902759999999999785e+00,1.401849999999999952e+01,1.230000000000000000e+02,1.250000000000000000e+02,1.180000000000000000e+02
-2.930569999999999897e+00,2.872939999999999827e+00,1.350660000000000061e+01,1.090000000000000000e+02,1.130000000000000000e+02,1.120000000000000000e+02
-2.426579999999999959e+00,2.772790000000000088e+00,1.376280000000000037e+01,1.890000000000000000e+02,2.050000000000000000e+02,2.040000000000000000e+02
-2.426579999999999959e+00,2.772790000000000088e+00,1.376280000000000037e+01,1.890000000000000000e+02,2.050000000000000000e+02,2.040000000000000000e+02
5.481239999999999668e+00,2.969520000000000159e+00,1.974759999999999849e+01,1.220000000000000000e+02,1.220000000000000000e+02,1.200000000000000000e+02
-2.894080000000000208e+00,2.639310000000000045e+00,1.357130000000000081e+01,1.460000000000000000e+02,1.580000000000000000e+02,1.480000000000000000e+02
3.531769999999999854e+00,2.442260000000000097e+00,1.607250000000000156e+01,1.800000000000000000e+02,1.950000000000000000e+02,1.960000000000000000e+02
3.383000000000000007e+00,2.414359999999999840e+00,1.596979999999999933e+01,1.660000000000000000e+02,1.850000000000000000e+02,1.920000000000000000e+02
-1.210100000000000064e-01,2.214539999999999953e+00,1.495860000000000056e+01,8.000000000000000000e+01,8.300000000000000000e+01,8.800000000000000000e+01
2.397990000000000066e+00,1.962590000000000057e+00,1.597470000000000034e+01,5.800000000000000000e+01,5.400000000000000000e+01,4.800000000000000000e+01
2.397990000000000066e+00,1.962590000000000057e+00,1.597470000000000034e+01,5.800000000000000000e+01,5.400000000000000000e+01,4.800000000000000000e+01
2.645599999999999952e+00,1.908879999999999910e+00,1.606340000000000146e+01,7.500000000000000000e+01,6.700000000000000000e+01,5.800000000000000000e+01
2.268850000000000033e+00,1.840319999999999956e+00,1.596840000000000082e+01,6.000000000000000000e+01,5.800000000000000000e+01,4.500000000000000000e+01
2.800260000000000193e+00,1.703680000000000083e+00,1.621600000000000108e+01,1.130000000000000000e+02,1.100000000000000000e+02,9.500000000000000000e+01
4.559230000000000338e+00,1.509279999999999955e+00,1.690269999999999939e+01,8.800000000000000000e+01,1.010000000000000000e+02,1.090000000000000000e+02
3.074930000000000163e+00,1.441060000000000008e+00,1.640840000000000032e+01,6.200000000000000000e+01,6.300000000000000000e+01,6.700000000000000000e+01
-2.374289999999999790e+00,9.219709999999999850e-01,1.420509999999999984e+01,7.800000000000000000e+01,9.100000000000000000e+01,9.900000000000000000e+01
2.431109999999999882e+00,7.036550000000000304e-01,1.639979999999999905e+01,7.200000000000000000e+01,7.200000000000000000e+01,7.000000000000000000e+01
3.391039999999999832e+00,6.485959999999999503e-01,1.670479999999999876e+01,1.600000000000000000e+02,1.820000000000000000e+02,1.950000000000000000e+02
-1.269110000000000049e+01,-4.623039999999999927e-01,2.863929999999999865e+01,1.100000000000000000e+02,1.240000000000000000e+02,6.100000000000000000e+01
-1.539949999999999930e+00,5.844040000000000346e-01,1.465959999999999930e+01,1.040000000000000000e+02,1.210000000000000000e+02,1.290000000000000000e+02
-1.484740000000000038e+01,-1.038159999999999972e+00,2.936439999999999984e+01,1.470000000000000000e+02,1.410000000000000000e+02,1.120000000000000000e+02
8.095639999999999503e-01,4.210709999999999731e-01,1.579490000000000016e+01,4.800000000000000000e+01,4.700000000000000000e+01,5.200000000000000000e+01
9.621960000000000512e-01,4.094729999999999759e-01,1.585870000000000068e+01,4.100000000000000000e+01,4.400000000000000000e+01,4.500000000000000000e+01
1.181009999999999893e+00,3.573600000000000110e-01,1.596690000000000076e+01,1.070000000000000000e+02,1.160000000000000000e+02,1.120000000000000000e+02
-1.435130000000000017e+01,-1.453370000000000051e+00,2.967060000000000031e+01,1.560000000000000000e+02,1.490000000000000000e+02,1.340000000000000000e+02
1.787679999999999936e+00,1.368679999999999897e-01,1.629240000000000066e+01,8.400000000000000000e+01,8.500000000000000000e+01,7.900000000000000000e+01
-1.318410000000000082e+01,-1.624160000000000048e+00,2.977359999999999829e+01,1.820000000000000000e+02,1.760000000000000000e+02,1.580000000000000000e+02
-1.463010000000000055e+01,-1.635080000000000089e+00,2.966039999999999921e+01,1.340000000000000000e+02,1.380000000000000000e+02,1.240000000000000000e+02
-1.434299999999999997e+01,-1.831190000000000095e+00,2.976610000000000156e+01,1.370000000000000000e+02,1.450000000000000000e+02,1.270000000000000000e+02
-1.821620000000000017e+00,1.150889999999999969e-01,1.518120000000000047e+01,1.090000000000000000e+02,1.560000000000000000e+02,1.560000000000000000e+02
-1.360190000000000055e+01,-2.335020000000000095e+00,3.017399999999999949e+01,1.220000000000000000e+02,1.260000000000000000e+02,1.120000000000000000e+02
-1.722009999999999863e+01,-2.632369999999999877e+00,3.188269999999999982e+01,9.500000000000000000e+01,9.700000000000000000e+01,5.000000000000000000e+01
-2.051919999999999966e+00,-3.639099999999999974e-02,1.394989999999999952e+01,1.440000000000000000e+02,1.690000000000000000e+02,1.740000000000000000e+02
-1.312519999999999953e+01,-2.671489999999999920e+00,3.044310000000000116e+01,1.390000000000000000e+02,1.460000000000000000e+02,1.300000000000000000e+02
-1.557049999999999912e+01,-3.640400000000000080e+00,3.274569999999999936e+01,5.800000000000000000e+01,5.700000000000000000e+01,2.600000000000000000e+01
2.664899999999999824e+00,-1.887529999999999930e+00,1.873679999999999879e+01,2.020000000000000000e+02,2.210000000000000000e+02,2.250000000000000000e+02
2.663759999999999906e+00,-1.890700000000000047e+00,1.873900000000000077e+01,2.020000000000000000e+02,2.210000000000000000e+02,2.250000000000000000e+02
-1.097499999999999964e+01,-6.032890000000000086e+00,3.440429999999999922e+01,1.120000000000000000e+02,1.170000000000000000e+02,7.600000000000000000e+01
-1.088979999999999926e+01,-6.176660000000000039e+00,3.464779999999999660e+01,1.210000000000000000e+02,1.300000000000000000e+02,7.700000000000000000e+01
-1.121909999999999918e+01,-6.683390000000000164e+00,3.512500000000000000e+01,6.200000000000000000e+01,6.400000000000000000e+01,3.000000000000000000e+01
-4.586870000000000225e+00,-6.915370000000000239e+00,3.450460000000000349e+01,9.900000000000000000e+01,1.230000000000000000e+02,6.800000000000000000e+01
-4.453330000000000233e+00,-7.370049999999999990e+00,3.503990000000000293e+01,1.350000000000000000e+02,1.260000000000000000e+02,9.800000000000000000e+01
-3.612810000000000077e+00,-7.540919999999999845e+00,3.504599999999999937e+01,8.500000000000000000e+01,6.800000000000000000e+01,6.000000000000000000e+01
-3.547140000000000182e+00,-7.957119999999999749e+00,3.536820000000000164e+01,9.500000000000000000e+01,7.900000000000000000e+01,6.500000000000000000e+01
-1.702820000000000000e+00,5.889260000000000161e+00,1.308350000000000080e+01,1.120000000000000000e+02,1.230000000000000000e+02,1.270000000000000000e+02
-3.099040000000000017e+00,5.761250000000000426e+00,1.262969999999999970e+01,1.140000000000000000e+02,1.230000000000000000e+02,1.300000000000000000e+02
-2.710729999999999862e+00,5.768320000000000114e+00,1.277870000000000061e+01,1.030000000000000000e+02,1.070000000000000000e+02,1.060000000000000000e+02
-2.951750000000000096e+00,5.653850000000000264e+00,1.273170000000000002e+01,1.120000000000000000e+02,1.150000000000000000e+02,1.200000000000000000e+02
-1.161419999999999897e+00,5.725089999999999790e+00,1.331329999999999991e+01,9.900000000000000000e+01,1.020000000000000000e+02,9.100000000000000000e+01
-3.725769999999999804e+00,5.599829999999999863e+00,1.281969999999999921e+01,1.770000000000000000e+02,1.910000000000000000e+02,1.910000000000000000e+02
-3.725769999999999804e+00,5.599829999999999863e+00,1.281969999999999921e+01,1.770000000000000000e+02,1.910000000000000000e+02,1.910000000000000000e+02
-3.022400000000000198e+00,5.553219999999999601e+00,1.273339999999999961e+01,1.210000000000000000e+02,1.250000000000000000e+02,1.300000000000000000e+02
-4.798910000000000231e+00,5.647829999999999906e+00,1.334869999999999912e+01,8.000000000000000000e+01,7.700000000000000000e+01,4.500000000000000000e+01
-4.831089999999999662e+00,5.602210000000000356e+00,1.335650000000000048e+01,1.250000000000000000e+02,1.250000000000000000e+02,9.400000000000000000e+01
-3.070489999999999942e+00,5.364740000000000286e+00,1.277660000000000018e+01,1.440000000000000000e+02,1.540000000000000000e+02,1.580000000000000000e+02
-1.638269999999999893e+00,5.464330000000000354e+00,1.329700000000000060e+01,6.200000000000000000e+01,6.200000000000000000e+01,6.000000000000000000e+01
-1.166719999999999979e+00,5.483360000000000234e+00,1.341530000000000022e+01,1.260000000000000000e+02,1.390000000000000000e+02,1.430000000000000000e+02
-9.002000000000000002e-01,5.433309999999999640e+00,1.352500000000000036e+01,1.000000000000000000e+02,9.700000000000000000e+01,8.100000000000000000e+01
-1.396430000000000060e+00,5.396300000000000097e+00,1.338049999999999962e+01,1.030000000000000000e+02,1.170000000000000000e+02,1.200000000000000000e+02
-1.061960000000000015e+00,5.391359999999999708e+00,1.348279999999999923e+01,1.590000000000000000e+02,1.640000000000000000e+02,1.500000000000000000e+02
-9.080899999999999528e-01,5.381450000000000067e+00,1.353650000000000020e+01,7.400000000000000000e+01,7.400000000000000000e+01,6.200000000000000000e+01
-9.084170000000000300e-01,5.384960000000000413e+00,1.354729999999999990e+01,7.400000000000000000e+01,7.400000000000000000e+01,6.200000000000000000e+01
-2.981269999999999865e+00,5.221639999999999837e+00,1.286359999999999992e+01,1.110000000000000000e+02,1.210000000000000000e+02,1.220000000000000000e+02
-2.981269999999999865e+00,5.221639999999999837e+00,1.286359999999999992e+01,1.110000000000000000e+02,1.210000000000000000e+02,1.220000000000000000e+02
-1.871599999999999930e+00,5.302330000000000432e+00,1.325919999999999987e+01,5.600000000000000000e+01,5.500000000000000000e+01,5.100000000000000000e+01
-4.907429999999999848e-01,5.387839999999999741e+00,1.365879999999999939e+01,1.190000000000000000e+02,1.300000000000000000e+02,1.360000000000000000e+02
-3.043820000000000192e+00,5.120300000000000296e+00,1.285560000000000080e+01,1.240000000000000000e+02,1.290000000000000000e+02,1.330000000000000000e+02
-1.604030000000000067e+00,5.218239999999999768e+00,1.337349999999999994e+01,9.300000000000000000e+01,8.800000000000000000e+01,7.700000000000000000e+01
-2.965959999999999930e+00,5.101020000000000110e+00,1.290820000000000078e+01,9.400000000000000000e+01,1.030000000000000000e+02,1.080000000000000000e+02
-2.031989999999999963e+00,5.153030000000000221e+00,1.324370000000000047e+01,5.300000000000000000e+01,5.200000000000000000e+01,5.000000000000000000e+01
-1.324619999999999909e+00,5.178689999999999571e+00,1.348879999999999946e+01,9.300000000000000000e+01,1.000000000000000000e+02,9.300000000000000000e+01
-1.753220000000000001e+00,5.153839999999999755e+00,1.336090000000000089e+01,5.700000000000000000e+01,6.000000000000000000e+01,5.300000000000000000e+01
-3.184130000000000127e+00,4.992149999999999643e+00,1.285019999999999918e+01,1.240000000000000000e+02,1.290000000000000000e+02,1.330000000000000000e+02
-1.405980000000000008e+00,5.125219999999999665e+00,1.349080000000000013e+01,5.500000000000000000e+01,5.700000000000000000e+01,5.100000000000000000e+01
-1.406120000000000037e+00,5.125090000000000146e+00,1.349160000000000004e+01,5.500000000000000000e+01,5.700000000000000000e+01,5.100000000000000000e+01
-9.053480000000000416e-01,5.135510000000000019e+00,1.364569999999999972e+01,7.400000000000000000e+01,7.300000000000000000e+01,6.800000000000000000e+01
-3.889040000000000274e-01,5.144219999999999793e+00,1.379069999999999929e+01,1.120000000000000000e+02,1.170000000000000000e+02,1.230000000000000000e+02
-1.500969999999999915e+00,5.047290000000000276e+00,1.347530000000000072e+01,5.800000000000000000e+01,5.500000000000000000e+01,5.100000000000000000e+01
-2.962000000000000188e+00,4.944340000000000401e+00,1.295350000000000001e+01,8.000000000000000000e+01,9.200000000000000000e+01,9.900000000000000000e+01
8.460809999999999165e-03,5.093910000000000160e+00,1.392360000000000042e+01,7.400000000000000000e+01,8.100000000000000000e+01,8.300000000000000000e+01
-8.616759999999999975e-01,5.032460000000000377e+00,1.369819999999999993e+01,6.900000000000000000e+01,7.100000000000000000e+01,6.800000000000000000e+01
-8.616759999999999975e-01,5.032460000000000377e+00,1.369819999999999993e+01,6.900000000000000000e+01,7.100000000000000000e+01,6.800000000000000000e+01
-4.661629999999999940e-01,5.042500000000000426e+00,1.381220000000000070e+01,1.210000000000000000e+02,1.270000000000000000e+02,1.310000000000000000e+02
-2.957510000000000083e+00,4.867680000000000007e+00,1.298530000000000051e+01,8.600000000000000000e+01,9.700000000000000000e+01,1.010000000000000000e+02
-9.517370000000000552e-01,4.978080000000000283e+00,1.368709999999999916e+01,1.240000000000000000e+02,1.250000000000000000e+02,1.270000000000000000e+02
-1.409129999999999994e+00,4.929059999999999775e+00,1.355090000000000039e+01,6.400000000000000000e+01,6.400000000000000000e+01,6.200000000000000000e+01
-1.408039999999999958e+00,4.928130000000000344e+00,1.354920000000000080e+01,6.400000000000000000e+01,6.400000000000000000e+01,6.200000000000000000e+01
-2.120490000000000208e+00,4.834649999999999892e+00,1.331760000000000055e+01,7.300000000000000000e+01,7.100000000000000000e+01,7.000000000000000000e+01
-1.996870000000000034e-01,4.924050000000000260e+00,1.395159999999999911e+01,1.010000000000000000e+02,1.080000000000000000e+02,1.140000000000000000e+02
1.320850000000000080e-01,4.923320000000000363e+00,1.404139999999999944e+01,1.120000000000000000e+02,1.140000000000000000e+02,1.140000000000000000e+02
-2.256200000000000205e+00,4.671490000000000364e+00,1.330450000000000088e+01,1.590000000000000000e+02,1.640000000000000000e+02,1.600000000000000000e+02
-2.584649999999999892e+00,4.624080000000000190e+00,1.321439999999999948e+01,9.700000000000000000e+01,9.000000000000000000e+01,7.400000000000000000e+01
-7.967230000000000145e-02,4.750989999999999824e+00,1.405850000000000044e+01,7.000000000000000000e+01,7.300000000000000000e+01,7.800000000000000000e+01
-2.967070000000000096e+00,4.541520000000000223e+00,1.307220000000000049e+01,1.000000000000000000e+02,1.030000000000000000e+02,1.080000000000000000e+02
2.043850000000000111e-01,4.724579999999999558e+00,1.414780000000000015e+01,6.600000000000000000e+01,6.800000000000000000e+01,6.700000000000000000e+01
2.033429999999999960e-01,4.723090000000000011e+00,1.413589999999999947e+01,6.600000000000000000e+01,6.800000000000000000e+01,6.700000000000000000e+01
-2.386029999999999873e+00,4.566250000000000142e+00,1.330289999999999928e+01,8.300000000000000000e+01,8.600000000000000000e+01,7.500000000000000000e+01
-2.386029999999999873e+00,4.566250000000000142e+00,1.330289999999999928e+01,8.300000000000000000e+01,8.600000000000000000e+01,7.500000000000000000e+01
-8.728080000000000283e-01,4.620540000000000092e+00,1.384779999999999944e+01,8.000000000000000000e+01,7.800000000000000000e+01,6.500000000000000000e+01
-8.738209999999999589e-01,4.620969999999999800e+00,1.384939999999999927e+01,8.000000000000000000e+01,7.800000000000000000e+01,6.500000000000000000e+01
-1.137829999999999897e+00,4.611130000000000173e+00,1.375099999999999945e+01,6.500000000000000000e+01,6.400000000000000000e+01,6.000000000000000000e+01
1.368989999999999929e-01,4.670899999999999608e+00,1.415360000000000085e+01,1.040000000000000000e+02,1.080000000000000000e+02,1.090000000000000000e+02
-2.610619999999999941e+00,4.510650000000000048e+00,1.323290000000000077e+01,5.500000000000000000e+01,5.700000000000000000e+01,5.200000000000000000e+01
2.054050000000000042e-01,4.650579999999999714e+00,1.418309999999999960e+01,7.600000000000000000e+01,7.800000000000000000e+01,7.700000000000000000e+01
2.054050000000000042e-01,4.650579999999999714e+00,1.418309999999999960e+01,7.600000000000000000e+01,7.800000000000000000e+01,7.700000000000000000e+01
-5.725539999999999630e+00,4.590580000000000105e+00,1.396180000000000021e+01,2.000000000000000000e+01,3.100000000000000000e+01,2.700000000000000000e+01
-2.671549999999999869e+00,4.408890000000000420e+00,1.324300000000000033e+01,5.000000000000000000e+01,4.900000000000000000e+01,4.400000000000000000e+01
7.043139999999999956e-01,4.566069999999999851e+00,1.435430000000000028e+01,6.800000000000000000e+01,7.300000000000000000e+01,7.600000000000000000e+01
-1.589560000000000084e+00,4.452049999999999841e+00,1.363499999999999979e+01,5.300000000000000000e+01,5.100000000000000000e+01,4.700000000000000000e+01
-1.492890000000000050e+00,4.441419999999999924e+00,1.367689999999999984e+01,5.300000000000000000e+01,5.000000000000000000e+01,4.600000000000000000e+01
4.196650000000000102e-01,4.536559999999999704e+00,1.429439999999999955e+01,1.180000000000000000e+02,1.210000000000000000e+02,1.200000000000000000e+02
8.278860000000000108e-01,4.492530000000000356e+00,1.443459999999999965e+01,8.100000000000000000e+01,8.700000000000000000e+01,8.500000000000000000e+01
-2.759700000000000042e+00,4.283350000000000435e+00,1.324820000000000064e+01,5.100000000000000000e+01,4.900000000000000000e+01,5.200000000000000000e+01
-7.278010000000000312e-01,4.390930000000000000e+00,1.399600000000000044e+01,6.800000000000000000e+01,7.400000000000000000e+01,6.300000000000000000e+01
-1.636970000000000036e+00,4.336759999999999948e+00,1.364879999999999960e+01,9.300000000000000000e+01,9.000000000000000000e+01,7.500000000000000000e+01
-1.934059999999999946e-01,4.406869999999999621e+00,1.417109999999999914e+01,1.190000000000000000e+02,1.260000000000000000e+02,1.300000000000000000e+02
2.648809999999999776e-01,4.395690000000000097e+00,1.430860000000000021e+01,7.900000000000000000e+01,7.800000000000000000e+01,6.200000000000000000e+01
-7.472239999999999993e-01,4.315039999999999765e+00,1.400549999999999962e+01,1.620000000000000000e+02,1.710000000000000000e+02,1.540000000000000000e+02
-8.637519999999999643e-01,4.310430000000000206e+00,1.396729999999999983e+01,6.700000000000000000e+01,6.300000000000000000e+01,5.100000000000000000e+01
-1.074340000000000073e+00,4.175139999999999851e+00,1.391830000000000034e+01,7.900000000000000000e+01,8.000000000000000000e+01,6.400000000000000000e+01
7.763029999999999653e-01,4.235999999999999766e+00,1.453529999999999944e+01,8.100000000000000000e+01,8.000000000000000000e+01,6.700000000000000000e+01
8.990939999999999488e-01,4.199860000000000149e+00,1.458159999999999989e+01,7.400000000000000000e+01,7.500000000000000000e+01,6.700000000000000000e+01
