frame cameraID r1,1 r1,2 r1,3 t1 r2,1 r2,2 r2,3 t2 r3,1 r3,2 r3,3 t3 0 0 0 1
0 0 0.929348 0 0.3692049 2.798107 0 1 0 1.65 -0.3692049 0 0.929348 1.618328 0 0 0 1
0 1 0.7844149 0 -0.6202365 -0.08906257 0 1 0 1.65 0.6202365 0 0.7844149 3.182396 0 0 0 1
0 2 -0.1449333 0 -0.9894415 -2.88717 0 1 0 1.65 0.9894415 0 -0.1449333 1.464067 0 0 0 1
0 3 -0.9293481 0 -0.3692048 -2.798107 0 1 0 1.65 0.3692048 0 -0.9293481 -1.818329 0 0 0 1
0 4 -0.7844149 0 0.6202366 0.08906269 0 1 0 1.65 -0.6202366 0 -0.7844149 -3.382396 0 0 0 1
0 5 0.144933 0 0.9894415 2.88717 0 1 0 1.65 -0.9894415 0 0.144933 -1.664068 0 0 0 1
1 0 0.9458949 0 0.3244732 2.722105 0 1 0 1.65 -0.3244732 0 0.9458949 1.558925 0 0 0 1
1 1 0.7539495 0 -0.6569324 -0.07561922 0 1 0 1.65 0.6569324 0 0.7539495 3.086874 0 0 0 1
1 2 -0.1919456 0 -0.9814056 -2.797724 0 1 0 1.65 0.9814056 0 -0.1919456 1.427949 0 0 0 1
1 3 -0.945895 0 -0.3244731 -2.722105 0 1 0 1.65 0.3244731 0 -0.945895 -1.758926 0 0 0 1
1 4 -0.7539495 0 0.6569325 0.07561934 0 1 0 1.65 -0.6569325 0 -0.7539495 -3.286875 0 0 0 1
1 5 0.1919452 0 0.9814057 2.797724 0 1 0 1.65 -0.9814057 0 0.1919452 -1.62795 0 0 0 1
2 0 0.9616648 0 0.2742276 2.641586 0 1 0 1.65 -0.2742276 0 0.9616648 1.499075 0 0 0 1
2 1 0.7183205 0 -0.6957124 -0.06404698 0 1 0 1.65 0.6957124 0 0.7183205 2.987218 0 0 0 1
2 2 -0.2433445 0 -0.96994 -2.705633 0 1 0 1.65 0.96994 0 -0.2433445 1.388143 0 0 0 1
2 3 -0.9616649 0 -0.2742275 -2.641586 0 1 0 1.65 0.2742275 0 -0.9616649 -1.699076 0 0 0 1
2 4 -0.7183205 0 0.6957125 0.0640471 0 1 0 1.65 -0.6957125 0 -0.7183205 -3.187219 0 0 0 1
2 5 0.2433442 0 0.9699401 2.705633 0 1 0 1.65 -0.9699401 0 0.2433442 -1.588143 0 0 0 1
3 0 0.9755871 0 0.2196128 2.558631 0 1 0 1.65 -0.2196128 0 0.9755871 1.444551 0 0 0 1
3 1 0.6779838 0 -0.7350768 -0.05830526 0 1 0 1.65 0.7350768 0 0.6779838 2.888115 0 0 0 1
3 2 -0.2976036 0 -0.9546897 -2.616937 0 1 0 1.65 0.9546897 0 -0.2976036 1.343563 0 0 0 1
3 3 -0.9755872 0 -0.2196127 -2.558631 0 1 0 1.65 0.2196127 0 -0.9755872 -1.644552 0 0 0 1
3 4 -0.6779839 0 0.735077 0.05830526 0 1 0 1.65 -0.735077 0 -0.6779839 -3.088116 0 0 0 1
3 5 0.2976032 0 0.9546897 2.616936 0 1 0 1.65 -0.9546897 0 0.2976032 -1.543565 0 0 0 1
