frame cameraID K[0,0] K[1,1] K[0,2] K[1,2]
0 0 1371.022 1371.022 959.5 539.5
0 1 1371.022 1371.022 959.5 539.5
0 2 1371.022 1371.022 959.5 539.5
0 3 1371.022 1371.022 959.5 539.5
0 4 1371.022 1371.022 959.5 539.5
0 5 1371.022 1371.022 959.5 539.5
1 0 1371.022 1371.022 959.5 539.5
1 1 1371.022 1371.022 959.5 539.5
1 2 1371.022 1371.022 959.5 539.5
1 3 1371.022 1371.022 959.5 539.5
1 4 1371.022 1371.022 959.5 539.5
1 5 1371.022 1371.022 959.5 539.5
2 0 1371.022 1371.022 959.5 539.5
2 1 1371.022 1371.022 959.5 539.5
2 2 1371.022 1371.022 959.5 539.5
2 3 1371.022 1371.022 959.5 539.5
2 4 1371.022 1371.022 959.5 539.5
2 5 1371.022 1371.022 959.5 539.5
3 0 1371.022 1371.022 959.5 539.5
3 1 1371.022 1371.022 959.5 539.5
3 2 1371.022 1371.022 959.5 539.5
3 3 1371.022 1371.022 959.5 539.5
3 4 1371.022 1371.022 959.5 539.5
3 5 1371.022 1371.022 959.5 539.5
