# kapture format: 1.1
# timestamp, device_id, image_path
0, training_camera_2, training/gallery_light4_loop1/frames/rgb/camera_2/rgb_00000.jpg
1, training_camera_2, training/gallery_light4_loop1/frames/rgb/camera_2/rgb_00001.jpg
2, training_camera_2, training/gallery_light4_loop1/frames/rgb/camera_2/rgb_00002.jpg
3, training_camera_2, training/gallery_light4_loop1/frames/rgb/camera_2/rgb_00003.jpg
4, testing_light_4_occlusion_3_frame_0, testing/gallery_light4_occlusion3/frames/rgb/camera_0/rgb_00000.jpg
5, testing_light_4_occlusion_3_frame_1, testing/gallery_light4_occlusion3/frames/rgb/camera_0/rgb_00001.jpg
6, testing_light_4_occlusion_3_frame_2, testing/gallery_light4_occlusion3/frames/rgb/camera_0/rgb_00002.jpg
7, testing_light_4_occlusion_3_frame_3, testing/gallery_light4_occlusion3/frames/rgb/camera_0/rgb_00003.jpg
8, testing_light_4_occlusion_3_frame_4, testing/gallery_light4_occlusion3/frames/rgb/camera_0/rgb_00004.jpg
9, testing_light_4_occlusion_3_frame_5, testing/gallery_light4_occlusion3/frames/rgb/camera_0/rgb_00005.jpg
10, testing_light_4_occlusion_3_frame_6, testing/gallery_light4_occlusion3/frames/rgb/camera_0/rgb_00006.jpg
11, testing_light_4_occlusion_3_frame_7, testing/gallery_light4_occlusion3/frames/rgb/camera_0/rgb_00007.jpg
12, testing_light_4_occlusion_3_frame_8, testing/gallery_light4_occlusion3/frames/rgb/camera_0/rgb_00008.jpg
13, testing_light_4_occlusion_3_frame_9, testing/gallery_light4_occlusion3/frames/rgb/camera_0/rgb_00009.jpg
