# kapture format: 1.1
# sensor_id, name, sensor_type, [sensor_params]+
training_camera_2, , camera, PINHOLE, 1920, 1080, 1371.022, 1371.022, 959.5, 539.5
testing_light_4_occlusion_3_frame_0, , camera, PINHOLE, 1920, 1080, 1339.994, 1339.994, 959.5, 539.5
testing_light_4_occlusion_3_frame_1, , camera, PINHOLE, 1920, 1080, 1514.589, 1514.589, 959.5, 539.5
testing_light_4_occlusion_3_frame_2, , camera, PINHOLE, 1920, 1080, 1829.226, 1829.226, 959.5, 539.5
testing_light_4_occlusion_3_frame_3, , camera, PINHOLE, 1920, 1080, 1508.622, 1508.622, 959.5, 539.5
testing_light_4_occlusion_3_frame_4, , camera, PINHOLE, 1920, 1080, 774.6982, 774.6982, 959.5, 539.5
testing_light_4_occlusion_3_frame_5, , camera, PINHOLE, 1920, 1080, 1501.729, 1501.729, 959.5, 539.5
testing_light_4_occlusion_3_frame_6, , camera, PINHOLE, 1920, 1080, 1622.861, 1622.861, 959.5, 539.5
testing_light_4_occlusion_3_frame_7, , camera, PINHOLE, 1920, 1080, 1807.685, 1807.685, 959.5, 539.5
testing_light_4_occlusion_3_frame_8, , camera, PINHOLE, 1920, 1080, 1173.15, 1173.15, 959.5, 539.5
testing_light_4_occlusion_3_frame_9, , camera, PINHOLE, 1920, 1080, 1841.476, 1841.476, 959.5, 539.5
