# kapture format: 1.1
# timestamp, device_id, qw, qx, qy, qz, tx, ty, tz
       0, training_camera_2, 0.6538603483885627, -0.0, -0.7566152554668637, -0.0, -2.88717, 1.65, 1.464067
       1, training_camera_2, 0.6356313421492913, -0.0, -0.77199274405754, -0.0, -2.797724, 1.65, 1.427949
       2, training_camera_2, 0.6150835382951092, -0.0, -0.78846194639841, -0.0, -2.705633, 1.65, 1.388143
       3, training_camera_2, 0.5926197973879246, -0.0, -0.8054823249109164, -0.0, -2.616937, 1.65, 1.343563
       4, testing_light_4_occlusion_3_frame_0, 0.5744697645671526, -0.0026704113680701314, 0.8180909621654918, -0.026543099374893703, 4.892228, 1.268833, 5.159162
       5, testing_light_4_occlusion_3_frame_1, -0.42136848942363947, 0.03168397031830565, 0.9060757850220199, -0.021711608471958205, 2.738021, 0.7770698, -6.423017
       6, testing_light_4_occlusion_3_frame_2, 0.9305083244786534, 0.019586241303572775, 0.3657331971699369, 0.003140973636220594, -3.59518, 1.101925, 5.709031
       7, testing_light_4_occlusion_3_frame_3, 0.6541001006294354, -0.006717862768239627, 0.7547604395317415, -0.04944297315334199, 2.232001, 1.519922, 6.385224
       8, testing_light_4_occlusion_3_frame_4, -0.9749771202174226, -0.025250590492188304, 0.21772222918637008, -0.03713561162085356, -6.286828, 0.9774044, -2.111161
       9, testing_light_4_occlusion_3_frame_5, 0.5949895571752283, 0.018697747972522213, 0.8025447613688501, 0.03949338011106241, 2.113101, 0.6998674, 6.406287
      10, testing_light_4_occlusion_3_frame_6, 0.5788495963461905, 0.01864485067049134, 0.8149157317085752, 0.02231287895374786, 1.599075, 0.6510644, 6.230546
      11, testing_light_4_occlusion_3_frame_7, 0.254922698601673, 0.023585030738281953, 0.9666685768184882, -0.0031664892914763858, 5.618888, 1.111176, 4.059733
      12, testing_light_4_occlusion_3_frame_8, 0.08672496593329972, -0.01194230990463819, 0.9961600833228047, 0.0011179947728171477, 6.041367, 1.166628, 2.292122
      13, testing_light_4_occlusion_3_frame_9, -0.7549026427252289, 0.028482756141523777, 0.6552012588008804, -0.004695005302428259, 0.9457417, 1.058692, -6.802509
