# kapture format: 1.0
# sensor_id, name, sensor_type, [sensor_params]+
testing_light_1_occlusion_1_frame_0, , camera, PINHOLE, 1920, 1080, 1339.994, 1339.994, 959.5, 539.5
testing_light_1_occlusion_1_frame_1, , camera, PINHOLE, 1920, 1080, 1514.589, 1514.589, 959.5, 539.5
testing_light_1_occlusion_1_frame_2, , camera, PINHOLE, 1920, 1080, 1829.226, 1829.226, 959.5, 539.5
testing_light_1_occlusion_1_frame_3, , camera, PINHOLE, 1920, 1080, 1508.622, 1508.622, 959.5, 539.5
testing_light_1_occlusion_1_frame_4, , camera, PINHOLE, 1920, 1080, 774.6982, 774.6982, 959.5, 539.5
testing_light_1_occlusion_1_frame_5, , camera, PINHOLE, 1920, 1080, 1501.729, 1501.729, 959.5, 539.5
testing_light_1_occlusion_1_frame_6, , camera, PINHOLE, 1920, 1080, 1622.861, 1622.861, 959.5, 539.5
testing_light_1_occlusion_1_frame_7, , camera, PINHOLE, 1920, 1080, 1807.685, 1807.685, 959.5, 539.5
testing_light_1_occlusion_1_frame_8, , camera, PINHOLE, 1920, 1080, 1173.15, 1173.15, 959.5, 539.5
testing_light_1_occlusion_1_frame_9, , camera, PINHOLE, 1920, 1080, 1841.476, 1841.476, 959.5, 539.5
testing_light_1_occlusion_1_frame_10, , camera, PINHOLE, 1920, 1080, 1217.688, 1217.688, 959.5, 539.5
testing_light_1_occlusion_1_frame_11, , camera, PINHOLE, 1920, 1080, 781.7038, 781.7038, 959.5, 539.5
testing_light_1_occlusion_1_frame_12, , camera, PINHOLE, 1920, 1080, 1461.843, 1461.843, 959.5, 539.5
testing_light_1_occlusion_1_frame_13, , camera, PINHOLE, 1920, 1080, 1504.56, 1504.56, 959.5, 539.5
testing_light_1_occlusion_1_frame_14, , camera, PINHOLE, 1920, 1080, 1837.569, 1837.569, 959.5, 539.5
testing_light_1_occlusion_1_frame_15, , camera, PINHOLE, 1920, 1080, 1043.26, 1043.26, 959.5, 539.5
testing_light_1_occlusion_1_frame_16, , camera, PINHOLE, 1920, 1080, 1121.26, 1121.26, 959.5, 539.5
testing_light_1_occlusion_1_frame_17, , camera, PINHOLE, 1920, 1080, 1139.558, 1139.558, 959.5, 539.5
testing_light_1_occlusion_1_frame_18, , camera, PINHOLE, 1920, 1080, 1031.965, 1031.965, 959.5, 539.5
testing_light_1_occlusion_1_frame_19, , camera, PINHOLE, 1920, 1080, 966.7661, 966.7661, 959.5, 539.5
testing_light_1_occlusion_1_frame_20, , camera, PINHOLE, 1920, 1080, 1060.354, 1060.354, 959.5, 539.5
testing_light_1_occlusion_1_frame_21, , camera, PINHOLE, 1920, 1080, 900.1553, 900.1553, 959.5, 539.5
testing_light_1_occlusion_1_frame_22, , camera, PINHOLE, 1920, 1080, 1730.644, 1730.644, 959.5, 539.5
testing_light_1_occlusion_1_frame_23, , camera, PINHOLE, 1920, 1080, 1392.402, 1392.402, 959.5, 539.5
testing_light_1_occlusion_1_frame_24, , camera, PINHOLE, 1920, 1080, 1322.695, 1322.695, 959.5, 539.5
testing_light_1_occlusion_1_frame_25, , camera, PINHOLE, 1920, 1080, 1104.657, 1104.657, 959.5, 539.5
testing_light_1_occlusion_1_frame_26, , camera, PINHOLE, 1920, 1080, 1507.146, 1507.146, 959.5, 539.5
testing_light_1_occlusion_1_frame_27, , camera, PINHOLE, 1920, 1080, 1280.818, 1280.818, 959.5, 539.5
testing_light_1_occlusion_1_frame_28, , camera, PINHOLE, 1920, 1080, 1406.495, 1406.495, 959.5, 539.5
testing_light_1_occlusion_1_frame_29, , camera, PINHOLE, 1920, 1080, 876.5021, 876.5021, 959.5, 539.5
testing_light_1_occlusion_1_frame_30, , camera, PINHOLE, 1920, 1080, 1113.395, 1113.395, 959.5, 539.5
testing_light_1_occlusion_1_frame_31, , camera, PINHOLE, 1920, 1080, 1060.5, 1060.5, 959.5, 539.5
testing_light_1_occlusion_1_frame_32, , camera, PINHOLE, 1920, 1080, 1186.341, 1186.341, 959.5, 539.5
testing_light_1_occlusion_1_frame_33, , camera, PINHOLE, 1920, 1080, 1861.495, 1861.495, 959.5, 539.5
testing_light_1_occlusion_1_frame_34, , camera, PINHOLE, 1920, 1080, 1435.972, 1435.972, 959.5, 539.5
testing_light_1_occlusion_1_frame_35, , camera, PINHOLE, 1920, 1080, 1183.946, 1183.946, 959.5, 539.5
testing_light_1_occlusion_1_frame_36, , camera, PINHOLE, 1920, 1080, 1886.993, 1886.993, 959.5, 539.5
testing_light_1_occlusion_1_frame_37, , camera, PINHOLE, 1920, 1080, 1059.311, 1059.311, 959.5, 539.5
testing_light_1_occlusion_1_frame_38, , camera, PINHOLE, 1920, 1080, 977.8297, 977.8297, 959.5, 539.5
testing_light_1_occlusion_1_frame_39, , camera, PINHOLE, 1920, 1080, 1129.502, 1129.502, 959.5, 539.5
testing_light_1_occlusion_1_frame_40, , camera, PINHOLE, 1920, 1080, 1520.307, 1520.307, 959.5, 539.5
testing_light_1_occlusion_1_frame_41, , camera, PINHOLE, 1920, 1080, 1509.139, 1509.139, 959.5, 539.5
testing_light_1_occlusion_1_frame_42, , camera, PINHOLE, 1920, 1080, 1120.627, 1120.627, 959.5, 539.5
testing_light_1_occlusion_1_frame_43, , camera, PINHOLE, 1920, 1080, 1208.011, 1208.011, 959.5, 539.5
testing_light_1_occlusion_1_frame_44, , camera, PINHOLE, 1920, 1080, 1295.762, 1295.762, 959.5, 539.5
testing_light_1_occlusion_1_frame_45, , camera, PINHOLE, 1920, 1080, 1055.113, 1055.113, 959.5, 539.5
testing_light_1_occlusion_1_frame_46, , camera, PINHOLE, 1920, 1080, 1061.614, 1061.614, 959.5, 539.5
testing_light_1_occlusion_1_frame_47, , camera, PINHOLE, 1920, 1080, 1122.368, 1122.368, 959.5, 539.5
testing_light_1_occlusion_1_frame_48, , camera, PINHOLE, 1920, 1080, 1309.933, 1309.933, 959.5, 539.5
testing_light_1_occlusion_1_frame_49, , camera, PINHOLE, 1920, 1080, 1002.742, 1002.742, 959.5, 539.5
testing_light_1_occlusion_1_frame_50, , camera, PINHOLE, 1920, 1080, 936.5604, 936.5604, 959.5, 539.5
testing_light_1_occlusion_1_frame_51, , camera, PINHOLE, 1920, 1080, 1173.194, 1173.194, 959.5, 539.5
testing_light_1_occlusion_1_frame_52, , camera, PINHOLE, 1920, 1080, 1912.316, 1912.316, 959.5, 539.5
testing_light_1_occlusion_1_frame_53, , camera, PINHOLE, 1920, 1080, 971.0115, 971.0115, 959.5, 539.5
testing_light_1_occlusion_1_frame_54, , camera, PINHOLE, 1920, 1080, 1106.599, 1106.599, 959.5, 539.5
testing_light_1_occlusion_1_frame_55, , camera, PINHOLE, 1920, 1080, 1187.037, 1187.037, 959.5, 539.5
testing_light_1_occlusion_1_frame_56, , camera, PINHOLE, 1920, 1080, 1058.206, 1058.206, 959.5, 539.5
testing_light_1_occlusion_1_frame_57, , camera, PINHOLE, 1920, 1080, 1026.902, 1026.902, 959.5, 539.5
testing_light_1_occlusion_1_frame_58, , camera, PINHOLE, 1920, 1080, 918.5615, 918.5615, 959.5, 539.5
testing_light_1_occlusion_1_frame_59, , camera, PINHOLE, 1920, 1080, 1712.156, 1712.156, 959.5, 539.5
testing_light_1_occlusion_1_frame_60, , camera, PINHOLE, 1920, 1080, 1295.139, 1295.139, 959.5, 539.5
testing_light_1_occlusion_1_frame_61, , camera, PINHOLE, 1920, 1080, 776.84, 776.84, 959.5, 539.5
testing_light_1_occlusion_1_frame_62, , camera, PINHOLE, 1920, 1080, 1451.541, 1451.541, 959.5, 539.5
testing_light_1_occlusion_1_frame_63, , camera, PINHOLE, 1920, 1080, 1666.691, 1666.691, 959.5, 539.5
testing_light_1_occlusion_1_frame_64, , camera, PINHOLE, 1920, 1080, 1179.498, 1179.498, 959.5, 539.5
testing_light_1_occlusion_1_frame_65, , camera, PINHOLE, 1920, 1080, 1086.823, 1086.823, 959.5, 539.5
testing_light_1_occlusion_1_frame_66, , camera, PINHOLE, 1920, 1080, 794.9186, 794.9186, 959.5, 539.5
testing_light_1_occlusion_1_frame_67, , camera, PINHOLE, 1920, 1080, 1377.333, 1377.333, 959.5, 539.5
testing_light_1_occlusion_1_frame_68, , camera, PINHOLE, 1920, 1080, 1883.545, 1883.545, 959.5, 539.5
testing_light_1_occlusion_1_frame_69, , camera, PINHOLE, 1920, 1080, 1062.2, 1062.2, 959.5, 539.5
testing_light_1_occlusion_1_frame_70, , camera, PINHOLE, 1920, 1080, 1034.815, 1034.815, 959.5, 539.5
testing_light_1_occlusion_1_frame_71, , camera, PINHOLE, 1920, 1080, 1344.282, 1344.282, 959.5, 539.5
testing_light_1_occlusion_1_frame_72, , camera, PINHOLE, 1920, 1080, 1067.57, 1067.57, 959.5, 539.5
testing_light_1_occlusion_1_frame_73, , camera, PINHOLE, 1920, 1080, 1495.554, 1495.554, 959.5, 539.5
testing_light_1_occlusion_1_frame_74, , camera, PINHOLE, 1920, 1080, 1822.237, 1822.237, 959.5, 539.5
testing_light_1_occlusion_1_frame_75, , camera, PINHOLE, 1920, 1080, 1092.877, 1092.877, 959.5, 539.5
testing_light_1_occlusion_1_frame_76, , camera, PINHOLE, 1920, 1080, 1096.388, 1096.388, 959.5, 539.5
testing_light_1_occlusion_1_frame_77, , camera, PINHOLE, 1920, 1080, 1381.093, 1381.093, 959.5, 539.5
testing_light_1_occlusion_1_frame_78, , camera, PINHOLE, 1920, 1080, 1269.906, 1269.906, 959.5, 539.5
testing_light_1_occlusion_1_frame_79, , camera, PINHOLE, 1920, 1080, 1035.068, 1035.068, 959.5, 539.5
testing_light_1_occlusion_1_frame_80, , camera, PINHOLE, 1920, 1080, 1590.894, 1590.894, 959.5, 539.5
testing_light_1_occlusion_1_frame_81, , camera, PINHOLE, 1920, 1080, 1086.775, 1086.775, 959.5, 539.5
testing_light_1_occlusion_1_frame_82, , camera, PINHOLE, 1920, 1080, 950.8099, 950.8099, 959.5, 539.5
testing_light_1_occlusion_1_frame_83, , camera, PINHOLE, 1920, 1080, 1448.021, 1448.021, 959.5, 539.5
testing_light_1_occlusion_1_frame_84, , camera, PINHOLE, 1920, 1080, 1780.75, 1780.75, 959.5, 539.5
testing_light_1_occlusion_1_frame_85, , camera, PINHOLE, 1920, 1080, 1259.353, 1259.353, 959.5, 539.5
testing_light_1_occlusion_1_frame_86, , camera, PINHOLE, 1920, 1080, 778.0601, 778.0601, 959.5, 539.5
testing_light_1_occlusion_1_frame_87, , camera, PINHOLE, 1920, 1080, 927.6161, 927.6161, 959.5, 539.5
testing_light_1_occlusion_1_frame_88, , camera, PINHOLE, 1920, 1080, 1208.602, 1208.602, 959.5, 539.5
testing_light_1_occlusion_1_frame_89, , camera, PINHOLE, 1920, 1080, 1609.233, 1609.233, 959.5, 539.5
testing_light_1_occlusion_1_frame_90, , camera, PINHOLE, 1920, 1080, 883.0909, 883.0909, 959.5, 539.5
testing_light_1_occlusion_1_frame_91, , camera, PINHOLE, 1920, 1080, 931.5775, 931.5775, 959.5, 539.5
testing_light_1_occlusion_1_frame_92, , camera, PINHOLE, 1920, 1080, 816.8105, 816.8105, 959.5, 539.5
testing_light_1_occlusion_1_frame_93, , camera, PINHOLE, 1920, 1080, 1399.139, 1399.139, 959.5, 539.5
testing_light_1_occlusion_1_frame_94, , camera, PINHOLE, 1920, 1080, 1146.696, 1146.696, 959.5, 539.5
testing_light_1_occlusion_1_frame_95, , camera, PINHOLE, 1920, 1080, 1628.697, 1628.697, 959.5, 539.5
testing_light_1_occlusion_1_frame_96, , camera, PINHOLE, 1920, 1080, 1312.989, 1312.989, 959.5, 539.5
testing_light_1_occlusion_1_frame_97, , camera, PINHOLE, 1920, 1080, 1760.132, 1760.132, 959.5, 539.5
testing_light_1_occlusion_1_frame_98, , camera, PINHOLE, 1920, 1080, 1073.358, 1073.358, 959.5, 539.5
testing_light_1_occlusion_1_frame_99, , camera, PINHOLE, 1920, 1080, 1210.288, 1210.288, 959.5, 539.5
testing_light_1_occlusion_1_frame_100, , camera, PINHOLE, 1920, 1080, 1283.763, 1283.763, 959.5, 539.5
testing_light_1_occlusion_1_frame_101, , camera, PINHOLE, 1920, 1080, 842.6962, 842.6962, 959.5, 539.5
testing_light_1_occlusion_1_frame_102, , camera, PINHOLE, 1920, 1080, 1690.697, 1690.697, 959.5, 539.5
testing_light_1_occlusion_1_frame_103, , camera, PINHOLE, 1920, 1080, 1333.988, 1333.988, 959.5, 539.5
testing_light_1_occlusion_1_frame_104, , camera, PINHOLE, 1920, 1080, 1852.021, 1852.021, 959.5, 539.5
testing_light_1_occlusion_1_frame_105, , camera, PINHOLE, 1920, 1080, 907.0547, 907.0547, 959.5, 539.5
testing_light_1_occlusion_1_frame_106, , camera, PINHOLE, 1920, 1080, 1005.462, 1005.462, 959.5, 539.5
testing_light_1_occlusion_1_frame_107, , camera, PINHOLE, 1920, 1080, 1588.609, 1588.609, 959.5, 539.5
testing_light_1_occlusion_1_frame_108, , camera, PINHOLE, 1920, 1080, 1165.09, 1165.09, 959.5, 539.5
testing_light_1_occlusion_1_frame_109, , camera, PINHOLE, 1920, 1080, 813.8069, 813.8069, 959.5, 539.5
testing_light_1_occlusion_1_frame_110, , camera, PINHOLE, 1920, 1080, 1357.61, 1357.61, 959.5, 539.5
testing_light_1_occlusion_1_frame_111, , camera, PINHOLE, 1920, 1080, 982.7151, 982.7151, 959.5, 539.5
testing_light_1_occlusion_1_frame_112, , camera, PINHOLE, 1920, 1080, 1190.291, 1190.291, 959.5, 539.5
testing_light_1_occlusion_1_frame_113, , camera, PINHOLE, 1920, 1080, 979.524, 979.524, 959.5, 539.5
testing_light_1_occlusion_1_frame_114, , camera, PINHOLE, 1920, 1080, 852.2576, 852.2576, 959.5, 539.5
testing_light_1_occlusion_1_frame_115, , camera, PINHOLE, 1920, 1080, 801.7866, 801.7866, 959.5, 539.5
